CodProvincia;CodMunicipio;CodigoPostal;Municipio
01;001;01240;Alegría-Dulantzi
01;001;01193;Alegría-Dulantzi
01;002;01450;Amurrio
01;002;01468;Amurrio
01;002;01470;Amurrio
01;003;01160;Aramaio
01;003;01165;Aramaio
01;003;01169;Aramaio
01;004;01474;Artziniega
01;004;01478;Artziniega
01;006;01211;Armiñón
01;006;01220;Armiñón
01;008;01510;Arratzua-Ubarrundia
01;008;01520;Arratzua-Ubarrundia
01;009;01250;Asparrena
01;009;01260;Asparrena
01;009;01208;Asparrena
01;010;01408;Ayala/Aiara
01;010;01470;Ayala/Aiara
01;010;01476;Ayala/Aiara
01;010;01477;Ayala/Aiara
01;010;01478;Ayala/Aiara
01;010;01479;Ayala/Aiara
01;011;01307;Baños de Ebro/Mañueta
01;013;01206;Barrundia
01;013;01208;Barrundia
01;014;01211;Berantevilla
01;014;01220;Berantevilla
01;014;01212;Berantevilla
01;016;01118;Bernedo
01;016;01128;Bernedo
01;016;01194;Bernedo
01;016;01216;Bernedo
01;017;01110;Campezo/Kanpezu
01;017;01117;Campezo/Kanpezu
01;017;01128;Campezo/Kanpezu
01;018;01138;Zigoitia
01;018;01196;Zigoitia
01;019;01308;Kripan
01;020;01439;Kuartango
01;020;01430;Kuartango
01;021;01192;Elburgo/Burgelu
01;021;01193;Elburgo/Burgelu
01;022;01340;Elciego
01;023;01309;Elvillar/Bilar
01;027;01193;Iruraiz-Gauna
01;027;01206;Iruraiz-Gauna
01;027;01207;Iruraiz-Gauna
01;028;01012;Labastida/Bastida
01;028;01212;Labastida/Bastida
01;028;01330;Labastida/Bastida
01;030;01118;Lagrán
01;030;01211;Lagrán
01;031;01309;Laguardia
01;031;01308;Laguardia
01;031;01300;Laguardia
01;031;01321;Laguardia
01;032;01308;Lanciego/Lantziego
01;033;01306;Lapuebla de Labarca
01;034;01309;Leza
01;036;01400;Laudio/Llodio
01;037;01120;Arraia-Maeztu
01;037;01128;Arraia-Maeztu
01;037;01129;Arraia-Maeztu
01;039;01322;Moreda de Álava/Moreda Araba
01;041;01309;Navaridas
01;042;01409;Okondo
01;043;01320;Oyón-Oion
01;043;01322;Oyón-Oion
01;044;01212;Peñacerrada-Urizaharra
01;044;01216;Peñacerrada-Urizaharra
01;044;01211;Peñacerrada-Urizaharra
01;046;01213;Erriberagoitia/Ribera Alta
01;046;01220;Erriberagoitia/Ribera Alta
01;046;01420;Erriberagoitia/Ribera Alta
01;046;01423;Erriberagoitia/Ribera Alta
01;046;01426;Erriberagoitia/Ribera Alta
01;046;01428;Erriberagoitia/Ribera Alta
01;047;01213;Ribera Baja/Erribera Beitia
01;047;01220;Ribera Baja/Erribera Beitia
01;049;01426;Añana
01;049;01423;Añana
01;051;01200;Salvatierra/Agurain
01;051;01207;Salvatierra/Agurain
01;052;01307;Samaniego
01;053;01207;San Millán/Donemiliaga
01;053;01208;San Millán/Donemiliaga
